1	Stadt	Stadt	N	NN	Fem|_|Sg	10	vok	_	_
3	wir	wir	PRO	PPER	1|Pl|_|Nom	2	subj	_	_
4	,	,	$,	$,	_	0	root	_	_
5	ich	ich	PRO	PPER	1|Sg|_|Nom	3	kon	_	_
6	und	und	KON	KON	_	5	kon	_	_
7	ganz	ganz	ADV	ADV	_	8	adv	_	_
8	Familien	Familie	N	NN	Fem|Nom|Pl	6	cj	_	_
9	,	,	$,	$,	_	0	root	_	_
10	zusammen	zusammen	ADV	ADV	_	0	root	_	_
11	gegesssen	gegesssen	V	VVPP	_	0	root	_	_
12	,	,	$,	$,	_	0	root	_	_
13	haben	haben	V	VAFIN	_|Pl|Pres|_	0	root	_	_
14	,	,	$,	$,	_	0	root	_	_
15	getantzen	getantzen	N	NE	_	0	root	_	_
16	,	,	$,	$,	_	0	root	_	_
17	und	und	KON	KON	_	0	root	_	_
18	Karaok	Karaok	N	NE	_	17	cj	_	_
19	gespielt	spielen	V	VVPP	_	0	root	_	_
20	,	,	$,	$,	_	0	root	_	_
21	das	die	ART	ART	Def|Neut|_|Sg	22	det	_	_
22	wars	wars	FM	FM	Neut|_|Sg	0	root	_	_
23	Super	Super	FM	FM	Neut|_|Sg	22	app	_	_
24	!	!	$.	$.	_	0	root	_	_
25	!	!	$.	$.	_	0	root	_	_

1	!	!	$.	$.	_	0	root	_	_

1	na	na	V	VVFIN	_|Sg|_|_	0	root	_	_
2	Michael	Michael	N	NE	Masc|Nom|Sg	1	subj	_	_
3	ich	ich	PRO	PPER	1|Sg|_|Nom	4	subj	_	_
4	wunsch	wunsch	V	VVFIN	1|Sg|_|_	0	root	_	_
5	dir	du	PRO	PPER	2|Sg|_|Dat	4	objd	_	_
6	alles	alle	PRO	PIS	Neut|_|Sg	5	app	_	_
7	gute	gut	ADJA	ADJA	Pos|Masc|_|Pl|St|	9	attr	_	_
8	Viele	viele	ART	PIDAT	Masc|_|Pl	9	attr	_	_
9	Grüße	Gruß	N	NN	Masc|_|Pl	6	app	_	_
10	Maria	Maria	N	NE	_|_|Sg	9	app	_	_

