1	Liebe	Liebe	N	NN	_|_|_	8	vok	_	_
12	sehr	sehr	ADV	ADV	_	13	adv	_	_
13	Freundlich	freundlich	ADV	ADJD	Pos|	11	pred	_	_
14	und	und	KON	KON	_	0	root	_	_
15	braf	braf	N	NE	_	14	cj	_	_
16	.	.	$.	$.	_	0	root	_	_

1	In	in	PREP	APPR	Dat	4	pp	_	_
2	dieser	diese	ART	PDAT	Fem|Dat|Sg	3	det	_	_
3	Zeit	Zeit	N	NN	Fem|Dat|Sg	1	pn	_	_
4	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
5	ich	ich	PRO	PPER	1|Sg|_|Nom	4	subj	_	_
6	in	in	PREP	APPR	_	8	pp	_	_
7	Garten	Garten	N	NN	Masc|_|Sg	6	pn	_	_
8	hingefahren	hinfahren	V	VVPP	_	4	aux	_	_
9	.	.	$.	$.	_	0	root	_	_

1	Du	du	PRO	PPER	2|Sg|_|Nom	2	subj	_	_
2	kannst	können	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
3	ein	eine	ART	ART	Indef|_|_|Sg	0	root	_	_
4	mal	mal	ADV	ADV	_	8	adv	_	_
5	am	an	PREP	APPRART	Dat	8	pp	_	_
6	Tag	Tag	N	NN	Masc|Dat|Sg	5	pn	_	_
7	in	in	PTKZU	PTKZU	_	8	part	_	_
8	füttern	füttern	V	VVINF	_	0	root	_	_
9	und	und	KON	KON	_	8	kon	_	_
10	auch	auch	ADV	ADV	_	15	adv	_	_
11	mit	mit	ADV	ADV	_	15	adv	_	_
12	im	in	PREP	APPRART	Dat	15	pp	_	_
13	eine	eine	ART	ART	Indef|Fem|_|Sg	14	det	_	_
14	Stunde	Stunde	N	NN	Fem|_|Sg	12	pn	_	_
15	spazieren	spazieren	V	VVINF	_	9	cj	_	_
16	.	.	$.	$.	_	0	root	_	_

1	Wo	Wo	PWAV	PWAV	_	4	adv	_	_
2	mein	meine	ART	PPOSAT	Masc|Nom|Sg	3	det	_	_
3	Garten	Garten	N	NN	Masc|Nom|Sg	4	subj	_	_
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	5	objc	_	_
5	weist	weisen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
6	du	du	PRO	PPER	2|Sg|_|Nom	5	subj	_	_
7	,	,	$,	$,	_	0	root	_	_
8	die	die	ART	ART	Def|Masc|Nom|Pl	9	det	_	_
9	Schlüssel	Schlüssel	N	NN	Masc|Nom|Pl	10	subj	_	_
10	liegen	liegen	V	VVFIN	3|Pl|Pres|_	5	kon	_	_
11	im	in	PREP	APPRART	Dat	10	objp	_	_
12	Briefkasten	Briefkasten	N	NN	_|Dat|_	11	pn	_	_
13	.	.	$.	$.	_	0	root	_	_

1	Ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	_
2	bedanke	bedanken	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	mich	ich	PRO	PRF	1|Sg|Acc	2	obja	_	_
4	Herzlich	herzlich	ADV	ADJD	Pos|	2	adv	_	_
5	.	.	$.	$.	_	0	root	_	_

1	Aufwieder	Aufwieder	N	NE	_|Nom|Sg	2	subj	_	_
2	sehe	sehen	V	VVFIN	3|Sg|Pres|Subj	0	root	_	_
3	Deine	deine	ART	PPOSAT	Fem|Acc|Sg	4	det	_	_
4	Freundin	Freundin	N	NN	Fem|Acc|Sg	2	obja	_	_
5	Maria	Maria	N	NE	_|Acc|Sg	4	app	_	_

