1	13.03.2012	13.03.2012	CARD	CARD	_	2	attr	_	_
3	moglichkeit	moglichkeit	N	NE	_|_|_	1	obja	_	_
4	,	,	$,	$,	_	0	root	_	_
5	verkehrsmittel	verkehrsmittel	ADV	ADJD	Pos|	8	adv	_	_
6	zu	zu	PREP	APPR	Dat	5	pp	_	_
7	Haus	Haus	N	NN	Neut|Dat|Sg	6	pn	_	_
8	kommen	kommen	V	VVFIN	_|Pl|Pres|_	0	root	_	_
9	?	?	$.	$.	_	0	root	_	_

1	Wie	Wie	PWAV	PWAV	_	0	root	_	_
2	weit	weit	ADV	ADJD	Pos|	4	adv	_	_
3	das	die	ART	ART	Def|Neut|_|Sg	4	det	_	_
4	Haus	Haus	N	NN	Fem|_|Sg	0	root	_	_
5	vom	von	PREP	APPRART	Dat	4	pp	_	_
6	Bus	Bus	N	NN	_|Dat|Sg	5	pn	_	_
7	Haltstelle	Haltstelle	N	NN	Fem|_|Sg	4	app	_	_
8	in	in	PREP	APPR	Dat	7	pp	_	_
9	der	die	ART	ART	Def|Fem|Dat|Sg	10	det	_	_
10	Bahnhofsstraße	Bahnhofsstraß	N	NN	Fem|Dat|Sg	8	pn	_	_
11	.	.	$.	$.	_	0	root	_	_

1	Ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	_
2	möchte	mögen	V	VMFIN	1|Sg|Past|Subj	0	root	_	_
3	am	an	PREP	APPRART	Dat	9	pp	_	_
4	Samstag	Samstag	N	NN	_|Dat|Sg	3	pn	_	_
5	die	die	ART	ART	Def|Fem|Acc|Sg	6	det	_	_
6	Fahrkarte	Fahrkarte	N	NN	Fem|Acc|Sg	9	obja	_	_
7	zu	zu	PREP	APPR	Dat	9	objp	_	_
8	dir	du	PRO	PPER	2|Sg|_|Dat	7	pn	_	_
9	geben	geben	V	VVINF	_	2	aux	_	_
10	.	.	$.	$.	_	0	root	_	_

1	Bitte	Bitte	ITJ	ITJ	_	0	root	_	_
2	antwort	antwort	V	VVIMP	_	0	root	_	_
3	mir	ich	PRO	PPER	1|Sg|_|Dat	2	objd	_	_
4	schnell	schnell	ADV	ADJD	Pos|	2	adv	_	_
5	,	,	$,	$,	_	0	root	_	_
6	dein	dein	V	VVFIN	_	0	root	_	_
7	,	,	$,	$,	_	0	root	_	_
8	Tobias	Tobias	N	NE	Masc|_|Sg	6	vok	_	_

